"# of Items","Nombre d'articles"
"%s orders already had downloaded labels.","% des commandes pour lesquelles des &eacute;tiquettes ont &eacute;t&eacute; t&eacute;l&eacute;charg&eacute;es"
"A4","A4"
"A6","A6"
"Action","Action"
"All labels have been downloaded.","Toutes les &eacute;tiquettes ont &eacute;t&eacute; t&eacute;l&eacute;charg&eacute;es"
"An error occurred while import table rates.","Une erreur s'est produite lors de l'importation du plan tarifaire"
"An error occurred while importing ParcelShops. Check the log for details.","Une erreur s'est produite lors de l'importation des ParcelShops. Contrôlez le fichier pour plus de d&eacute;tails"
"Are you sure?","Etes-vous certain?"
"Bill to Name","Facturer au nom de"
"CSV Uploaded (%s shops).","CVS t&eacute;l&eacute;charg&eacute; (%s shops)."
"Click here to change your ParcelShop", "Cliquer ici pour adapter votre DPD ParcelShop"
"Click here to select your ParcelShop","Cliquer ici pour s&eacute;lectionner votre DPD ParcelShop"
"Close this map","Fermer ce dossier"
"closed","Ferm&eacute;"
"Country","Pays"
"DPD Label","Etiquette DPD"
"DPD Orders","Commandes DPD"
"DPD Return Label","Etiquette DPD retour"
"DPD Return Labels","Etiquettes DPD retour"
"DPD Type","DPD Type"
"Date created","Date de cr&eacute;ation"
"Delete","Supprimer"
"Download DPD Label","T&eacute;l&eacute;charger une &eacute;tiquette DPD"
"Download Instructions PDF","T&eacute;l&eacute;charger les instructions PDF"
"Download Label PDF","T&eacute;l&eacute;charger l'&eacute;tiquette PDF"
"Download all undownloaded","T&eacute;l&eacute;charger toutes les &eacute;tiquettes disponibles"
"Download","T&eacute;l&eacute;charger"
"Duplicate Row #%s (Country %s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Rang&eacute;e Double #%s (Pays %s"", R&eacute;gion/&eacute;tat ""%s"", Zip ""%s"" et Valeur ""%s"")."
"Email","Email"
"Excel XML","Excel XML"
"Export CSV","Exporter CSV"
"File has not been imported. See the following list of errors: %s","Le fichier n'a pas &eacute;t&eacute; import&eacute;. V&eacute;rifier les messages d'erreur"
"Flat Rate","Prix fixe"
"G.T. (Base)","G.T. (base)"
"G.T. (Purchased)","G.T. (achet&eacute;)"
"Generate Label and Complete","Cre&euml;er une &eacute;tiquette et quitter"
"Inline","Inline"
"Invalid %s "%s" in the Row #%s.","%s incorrect dans ligne %s"
"Invalid Country "%s" in the Row #%s.","%s pays incorrect dans ligne %s"
"Invalid ParcelShops format in the Row #%s","%s format ParcelShop  incorrect dans ligne %s"
"Invalid Region/State "%s" in the Row #%s.","R&eacute;gion/province "%s" incorrect dans ligne %s"
"Invalid Shipping Price "%s" in the Row #%s.","%s coûtes d'envoi incorrect dans ligne %s"
"Invalid Table Rates File Format","Format de fichier du tableau de tarification incorrect"
"Invalid Table Rates format in the Row #%s", "Format de fichier du tableau de tarification incorrect dans ligne %s"
"Label Downloaded", "Etiquette t&eacute;l&eacute;charg&eacute;e"
"Label number", "R&eacute;f&eacute;rence &eacute;tiquette"
"Loading DPD parcelshop map based on your address...","Les ParcelShops DPD on &eacute;t&eacute; t&eacute;l&eacute;charg&eacute;s en fonction de votre adresse"
"No CSV uploaded.","Aucun CVS n'a &eacute;t&eacute; t&eacute;l&eacute;charg&eacute;."
"No label generated yet - please perform the 'Generate Label and Complete' action from the overview.","Etiquette pas encore cre&eacute;e - veuillez utiliser le 'Cre&eacute;er Etiquette et quitter' action de l'index.
"No records found.","Aucun r&eacute;sultat"
"No undownloaded labels found.","Aucune &eacute;tiquette disponible"
"Order #","Commande n°"
"Overlay","Overlay"
"Please refresh the page after downloading to review the confirmation messages including any problems encountered. Continue?","Veuillez de nouveau charger la page si vous voulez v&eacute;rifier les messages de confirmation et les probl&eacute;mes rencont&eacute;s. Continuez?"
"Please select a Parcelshop","Veuillez s&eacute;lectionner un ParcelShop DPD"
"Purchased From (Store)","Achet&eacute; chez (boutique)"
"Purchased On","Achet&eacute; le"
"Region/State","R&eacute;gion/Province"
"Ship to Name","Envoyer au nom de"
"Ship to this ParcelShop.","Envoyer a ce Parcelshop"
"Shipped with DPD generateLabelAndComplete","Envoy&eacute; avec une &eacute;tiquette DPD."
"Shipping Price","Coûte d'envoi"
"Some of the selected orders are not ready to be shipped or have already been shipped, operation canceled.","Certaines des commandes s&eacute;lectionn&eacute;es ne sont pas pr&ecirc;tes à l'envoi, ou sont d&eacute;jà envoy&eacute;. Demande annul&eacute;"
"Something went wrong while processing order %s, please check your error logs.","Une erreur s'est produite lors du traitement de cette commande. Veuillez v&eacute;rifier votre fichier"
"Status","Statut"
"Table Rates","Tableau de tarification"
"The ParcelShops for this website have been deleted.","Les ParcelShops DPD ont &eacute;t&eacute; retir&eacute;s de ce site."
"The email with return label and instructions has been sent to %s.","Le &eacute;mail avec le &eacute;tiquette retour et les instructions ont &eacute;t&eacute; envoy&eacute;s à %s."
"The file(s) could not be downloaded, please check your DPD logs.", "Le(s) fichier(s) n'ont pas pu &ecirc;tre t&eacute;l&eacute;charg&eacute;s. Veuillez contrôler votre journal DPD.
"The order with id %s has only none dpd shipments.","Il n'y a pas d'exp&eacute;dition pr&eacute;vue pour votre commande ID"
"The order with id %s is not ready to be shipped or has already been shipped.","La commande avec r&eacute;f&eacute;rence % n'est pas pr&ecirc;te ou a d&eacute;jà &eacute;t&eacute; envoy&eacute;e"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Cette option d'exp&eacute;dition est momentan&eacute;ment indisponible. Si vous voulez effectuer votre envoi via cette option, veuillez nous contacter"
"Track this shipment","Suivre ce colis"
"View","Afficher"
"Your csv closed too soon with the ZZ ending. Please refer to the manual.","Votre csv a &eacute;t&eacute; referm&eacute; pr&eacute;matur&eacute;ment. Veuillez consulter votre manuel"
"Your csv does not have the following required attributes %s on row %s.  Please refer to the manual.","Votre CSV ne contient pas les donn&eacute;es requises dans la ligne % Veuillez consulter votre manuel"
"Your csv does not have the required AA header. Please refer to the manual.","Votre CSV n'a pas le format AA requis. Veuillez consulter votre manuel"
"Your csv does not have the required ZZ ending. Please refer to the manual.","Votre CSV ne contient pas les ZZ requis dans la ligne % Veuillez consulter votre manuel"
"%s label(s) have been generated and statuses have been changed.","Vos &eacute;tiquettes sont &eacute;dit&eacute;es et les statuts mis à jour"
"Your return label and instructions file have been generated and is available under "DPD Return Labels" in this order.","Votre &eacute;tiquette retour et les instructions ont &eacute;t&eacute; cree&eacute;s et sont disponibles dans cette commande sous DPD &eacute;tiquettes retour"
"Your selected order is not ready to be shipped or has already been shipped, operation canceled.", "La commande s&eacute;lectionn&eacute;e n'est pas pr&ecirc;te à l'envoi ou a d&eacute;jà &eacute;t&eacute; envoy&eacute;e. Demande annul&eacute;e.
"Zip/Postal Code";"Code postal"
"No data found, please fill in the required shipping data.","Aucune donnée disponible, s'il vous plaît remplir les dates d'expédition nécessaires."